domain_score,market_score,experience_score,cost_per_month,final_score
15,10,15,39801,13
15,10,15,21293,26
10,5,15,14390,28
30,30,15,17911,38
10,25,15,10759,35
15,30,15,20476,31
15,10,20,27642,23
10,30,20,33130,22
15,30,15,16817,34
25,5,20,12811,34
30,25,10,26924,29
30,10,10,29799,24
10,30,10,21492,28
25,20,20,17408,35
10,5,15,34942,14
20,10,15,27750,23
10,10,20,27227,21
25,10,15,28616,24
30,5,15,23605,28
10,5,10,6397,32
15,30,20,37683,21
30,20,10,11142,39
20,20,20,10685,38
10,10,15,3452,36
15,20,20,24460,27
25,30,15,19718,35
10,30,20,8442,39
10,20,15,9647,35
25,20,15,28163,27
15,30,20,34663,23
30,10,10,26861,26
20,25,10,33807,22
20,25,20,9499,40
30,20,10,28373,27
30,30,15,16252,39
20,25,10,25532,27
25,10,15,26173,26
25,10,10,38423,16
30,10,15,7233,40
10,30,15,5240,40
20,30,15,16459,36
30,5,10,15725,32
30,30,15,8439,44
25,30,20,15992,38
10,5,10,32957,14
25,30,10,31673,26
25,5,15,9142,36
20,20,15,31328,23
30,5,20,32341,23
30,10,10,38174,18
25,30,15,16709,37
10,30,20,33375,22
10,5,10,38238,11
20,25,20,5152,43
10,20,20,17957,30
10,5,10,36222,12
25,20,15,14034,36
25,30,20,9290,43
30,30,10,18162,36
10,25,10,14171,32
30,5,15,15813,33
25,25,20,17056,36
15,20,20,31725,22
10,30,20,24052,28
10,20,15,7665,36
20,20,20,25695,28
30,5,20,27321,26
15,20,10,9301,35
20,25,20,38873,20
20,5,15,39149,14
20,5,20,16554,30
20,25,20,29239,27
15,20,15,37612,17
20,5,15,5076,37
25,20,20,27555,28
20,5,10,15369,29
10,25,20,14572,34
25,25,10,3559,43
15,5,20,3455,37
10,30,15,11576,36
30,25,15,30183,28
